site,date,bga_pc_ugL_avg,chla_ugL_avg,pc_chla_ysi
burnt,6/28/2022,0.324598765,10.02442593,0.032380783
burnt,7/26/2022,0.562625,4.4454375,0.126562346
burnt,8/31/2022,1.58471875,3.83809375,0.412892142
burnt,9/28/2022,0.745006945,1.24825,0.596841133
burnt,10/26/2022,0.081131423,2.554972332,0.031754325
dunnigan,6/29/2022,1.103558503,5.416524036,0.203739242
dunnigan,7/25/2022,4.819731775,4.838096172,0.99620421
dunnigan,8/30/2022,0.958750593,4.281768672,0.223914617
dunnigan,9/26/2022,3.294643277,12.85173359,0.256357888
dunnigan,10/25/2022,7.834671379,14.39690622,0.544191319
elbow,6/29/2022,0.2431,7.224933333,0.033647369
elbow,7/25/2022,0.085714773,4.434651705,0.019328411
elbow,9/1/2022,0.175432365,2.750073914,0.063791873
elbow,9/26/2022,0.329319445,2.392444445,0.137649777
elbow,10/25/2022,0.105068174,1.811228213,0.058009351
etwin,6/27/2022,3.503302835,9.542484418,0.367126912
etwin,7/27/2022,0.13595,4.5217,0.030066126
etwin,8/30/2022,0.262428801,5.781797788,0.045388789
etwin,9/27/2022,0.311012821,5.286004274,0.058837035
etwin,10/24/2022,0.186332736,6.483744314,0.028738446
finger,6/29/2022,0.346067948,8.015489559,0.043174899
finger,7/25/2022,0.099999905,4.135040079,0.024183539
finger,9/1/2022,0.215812082,2.076927258,0.103909312
finger,9/26/2022,0.448285714,2.216818182,0.202220335
finger,10/25/2022,0.184699818,5.807012987,0.031806338
flame,6/28/2022,0.302981602,8.8919228,0.0340738
flame,7/26/2022,0.1725,4.3181,0.039948125
flame,8/31/2022,0.108907947,4.937749642,0.022056191
flame,9/28/2022,0.078093254,4.609779762,0.016940778
flame,10/26/2022,0.034019077,4.533887016,0.007503292
smoke,6/28/2022,0.425339044,7.475878653,0.056894857
smoke,7/26/2022,0.1111,4.98745,0.022275913
smoke,8/31/2022,0.800730994,2.450042398,0.326823321
smoke,9/28/2022,0.655456044,1.655423077,0.39594473
smoke,10/26/2022,0.216833333,7.342547619,0.029531076
wtwin,6/27/2022,0.229191708,3.044724391,0.075275026
wtwin,7/27/2022,0.063458333,1.5721875,0.040363082
wtwin,8/30/2022,0.059479533,2.081603777,0.028573897
wtwin,9/27/2022,0.02743134,3.674306646,0.007465719
wtwin,10/24/2022,0.039259886,7.292445001,0.005383638
